date,source,device,campaign,impressions,clicks,leads,qualified_leads,customers,spend_pkr
2024-02-01,Paid Search,Desktop,Paid Search / Desktop,421,153,55,11,4,26010.0
2024-02-01,Paid Search,Mobile,Paid Search / Mobile,662,189,95,18,6,32130.0
2024-02-01,Paid Search,Tablet,Paid Search / Tablet,103,29,14,2,1,4930.0
2024-02-01,Organic Search,Desktop,Organic Search / Desktop,286,98,34,5,2,3430.0
2024-02-01,Organic Search,Mobile,Organic Search / Mobile,307,75,23,4,2,2625.0
2024-02-01,Organic Search,Tablet,Organic Search / Tablet,82,23,9,1,0,805.0
2024-02-01,Paid Social,Desktop,Paid Social / Desktop,335,120,35,4,2,12600.0
2024-02-01,Paid Social,Mobile,Paid Social / Mobile,529,125,40,4,2,13125.0
2024-02-01,Paid Social,Tablet,Paid Social / Tablet,100,25,8,1,0,2625.0
2024-02-01,Email,Desktop,Email / Desktop,99,47,15,4,2,2256.0
2024-02-01,Email,Mobile,Email / Mobile,137,56,21,5,2,2688.0
2024-02-01,Email,Tablet,Email / Tablet,33,13,6,1,0,624.0
2024-02-01,Display,Desktop,Display / Desktop,257,64,19,1,0,4352.0
2024-02-01,Display,Mobile,Display / Mobile,300,59,15,2,1,4012.0
2024-02-01,Display,Tablet,Display / Tablet,60,13,4,0,0,884.0
2024-02-02,Paid Search,Desktop,Paid Search / Desktop,320,128,60,10,4,21760.0
2024-02-02,Paid Search,Mobile,Paid Search / Mobile,462,130,49,8,3,22100.0
2024-02-02,Paid Search,Tablet,Paid Search / Tablet,84,26,11,2,1,4420.0
2024-02-02,Organic Search,Desktop,Organic Search / Desktop,222,79,26,4,1,2765.0
2024-02-02,Organic Search,Mobile,Organic Search / Mobile,409,96,30,4,2,3360.0
2024-02-02,Organic Search,Tablet,Organic Search / Tablet,59,17,8,1,0,595.0
2024-02-02,Paid Social,Desktop,Paid Social / Desktop,351,116,44,5,2,12180.0
2024-02-02,Paid Social,Mobile,Paid Social / Mobile,498,113,35,3,1,11865.0
2024-02-02,Paid Social,Tablet,Paid Social / Tablet,104,28,10,1,0,2940.0
2024-02-02,Email,Desktop,Email / Desktop,87,44,17,4,2,2112.0
2024-02-02,Email,Mobile,Email / Mobile,128,44,18,4,1,2112.0
2024-02-02,Email,Tablet,Email / Tablet,37,15,6,1,0,720.0
2024-02-02,Display,Desktop,Display / Desktop,203,58,18,1,0,3944.0
2024-02-02,Display,Mobile,Display / Mobile,387,77,23,2,1,5236.0
2024-02-02,Display,Tablet,Display / Tablet,54,12,4,0,0,816.0
2024-02-03,Paid Search,Desktop,Paid Search / Desktop,351,125,59,7,3,21250.0
2024-02-03,Paid Search,Mobile,Paid Search / Mobile,464,121,42,8,3,20570.0
2024-02-03,Paid Search,Tablet,Paid Search / Tablet,88,31,12,2,1,5270.0
2024-02-03,Organic Search,Desktop,Organic Search / Desktop,293,112,47,8,3,3920.0
2024-02-03,Organic Search,Mobile,Organic Search / Mobile,337,97,40,5,2,3395.0
2024-02-03,Organic Search,Tablet,Organic Search / Tablet,64,20,8,1,0,700.0
2024-02-03,Paid Social,Desktop,Paid Social / Desktop,272,97,35,3,1,10185.0
2024-02-03,Paid Social,Mobile,Paid Social / Mobile,391,83,26,3,1,8715.0
2024-02-03,Paid Social,Tablet,Paid Social / Tablet,69,16,5,0,0,1680.0
2024-02-03,Email,Desktop,Email / Desktop,118,60,19,5,2,2880.0
2024-02-03,Email,Mobile,Email / Mobile,162,54,18,3,1,2592.0
2024-02-03,Email,Tablet,Email / Tablet,32,15,5,1,1,720.0
2024-02-03,Display,Desktop,Display / Desktop,160,45,15,1,0,3060.0
2024-02-03,Display,Mobile,Display / Mobile,248,48,15,1,0,3264.0
2024-02-03,Display,Tablet,Display / Tablet,62,12,3,0,0,816.0
2024-02-04,Paid Search,Desktop,Paid Search / Desktop,403,166,64,11,4,28220.0
2024-02-04,Paid Search,Mobile,Paid Search / Mobile,550,172,59,9,4,29240.0
2024-02-04,Paid Search,Tablet,Paid Search / Tablet,127,39,14,2,1,6630.0
2024-02-04,Organic Search,Desktop,Organic Search / Desktop,325,116,40,7,2,4060.0
2024-02-04,Organic Search,Mobile,Organic Search / Mobile,336,89,32,4,1,3115.0
2024-02-04,Organic Search,Tablet,Organic Search / Tablet,67,22,7,1,0,770.0
2024-02-04,Paid Social,Desktop,Paid Social / Desktop,356,128,37,3,1,13440.0
2024-02-04,Paid Social,Mobile,Paid Social / Mobile,510,108,35,3,1,11340.0
2024-02-04,Paid Social,Tablet,Paid Social / Tablet,69,16,6,1,0,1680.0
2024-02-04,Email,Desktop,Email / Desktop,120,64,21,5,3,3072.0
2024-02-04,Email,Mobile,Email / Mobile,143,54,19,4,2,2592.0
2024-02-04,Email,Tablet,Email / Tablet,38,16,7,1,0,768.0
2024-02-04,Display,Desktop,Display / Desktop,166,48,16,2,1,3264.0
2024-02-04,Display,Mobile,Display / Mobile,320,57,14,1,0,3876.0
2024-02-04,Display,Tablet,Display / Tablet,49,10,3,0,0,680.0
2024-02-05,Paid Search,Desktop,Paid Search / Desktop,472,172,78,9,4,29240.0
2024-02-05,Paid Search,Mobile,Paid Search / Mobile,475,146,64,10,4,24820.0
2024-02-05,Paid Search,Tablet,Paid Search / Tablet,107,38,14,2,1,6460.0
2024-02-05,Organic Search,Desktop,Organic Search / Desktop,289,99,40,5,2,3465.0
2024-02-05,Organic Search,Mobile,Organic Search / Mobile,362,107,33,4,2,3745.0
2024-02-05,Organic Search,Tablet,Organic Search / Tablet,66,20,8,1,0,700.0
2024-02-05,Paid Social,Desktop,Paid Social / Desktop,262,81,32,2,1,8505.0
2024-02-05,Paid Social,Mobile,Paid Social / Mobile,525,121,41,5,1,12705.0
2024-02-05,Paid Social,Tablet,Paid Social / Tablet,94,24,7,1,0,2520.0
2024-02-05,Email,Desktop,Email / Desktop,134,70,31,7,3,3360.0
2024-02-05,Email,Mobile,Email / Mobile,171,62,23,4,2,2976.0
2024-02-05,Email,Tablet,Email / Tablet,32,12,5,1,0,576.0
2024-02-05,Display,Desktop,Display / Desktop,251,68,19,2,1,4624.0
2024-02-05,Display,Mobile,Display / Mobile,343,75,21,2,0,5100.0
2024-02-05,Display,Tablet,Display / Tablet,48,11,4,0,0,748.0
2024-02-06,Paid Search,Desktop,Paid Search / Desktop,358,150,56,10,4,25500.0
2024-02-06,Paid Search,Mobile,Paid Search / Mobile,562,180,86,11,3,30600.0
2024-02-06,Paid Search,Tablet,Paid Search / Tablet,130,42,15,2,1,7140.0
2024-02-06,Organic Search,Desktop,Organic Search / Desktop,254,106,47,5,2,3710.0
2024-02-06,Organic Search,Mobile,Organic Search / Mobile,483,133,50,7,3,4655.0
2024-02-06,Organic Search,Tablet,Organic Search / Tablet,64,17,6,1,0,595.0
2024-02-06,Paid Social,Desktop,Paid Social / Desktop,233,86,27,3,1,9030.0
2024-02-06,Paid Social,Mobile,Paid Social / Mobile,515,125,34,4,1,13125.0
2024-02-06,Paid Social,Tablet,Paid Social / Tablet,103,30,11,1,0,3150.0
2024-02-06,Email,Desktop,Email / Desktop,85,50,20,5,3,2400.0
2024-02-06,Email,Mobile,Email / Mobile,195,78,31,5,2,3744.0
2024-02-06,Email,Tablet,Email / Tablet,24,11,4,1,0,528.0
2024-02-06,Display,Desktop,Display / Desktop,202,56,14,1,0,3808.0
2024-02-06,Display,Mobile,Display / Mobile,295,57,17,2,1,3876.0
2024-02-06,Display,Tablet,Display / Tablet,63,14,4,0,0,952.0
2024-02-07,Paid Search,Desktop,Paid Search / Desktop,354,144,63,8,4,24480.0
2024-02-07,Paid Search,Mobile,Paid Search / Mobile,658,191,66,13,6,32470.0
2024-02-07,Paid Search,Tablet,Paid Search / Tablet,98,31,11,2,1,5270.0
2024-02-07,Organic Search,Desktop,Organic Search / Desktop,281,100,30,3,1,3500.0
2024-02-07,Organic Search,Mobile,Organic Search / Mobile,331,94,32,6,3,3290.0
2024-02-07,Organic Search,Tablet,Organic Search / Tablet,62,18,6,1,0,630.0
2024-02-07,Paid Social,Desktop,Paid Social / Desktop,286,100,36,4,1,10500.0
2024-02-07,Paid Social,Mobile,Paid Social / Mobile,537,136,53,5,2,14280.0
2024-02-07,Paid Social,Tablet,Paid Social / Tablet,70,17,5,1,0,1785.0
2024-02-07,Email,Desktop,Email / Desktop,110,51,18,4,2,2448.0
2024-02-07,Email,Mobile,Email / Mobile,145,52,21,3,1,2496.0
2024-02-07,Email,Tablet,Email / Tablet,35,15,5,1,0,720.0
